theta_id,facet_lab,mu_star,sigma_star,n,q10,q25,q50,q75,q90
1,"mu=0.30, sigma=0.50",0.3,0.5,25,0.09747005159244372,0.1501618536897138,0.22462395137935476,0.3005633178496733,0.3185456354064816
1,"mu=0.30, sigma=0.50",0.3,0.5,50,0.06660958246351202,0.1174799548581992,0.17635985225859196,0.27347628771011245,0.31439665756187607
1,"mu=0.30, sigma=0.50",0.3,0.5,100,0.04822247217457555,0.09066054739729298,0.151306221612834,0.30217046498969446,0.3151003349322286
1,"mu=0.30, sigma=0.50",0.3,0.5,200,0.03394441316111703,0.061972012688354325,0.10927525889227399,0.30155614532723957,0.3116197128498359
1,"mu=0.30, sigma=0.50",0.3,0.5,400,0.02360854408544198,0.04757270942450206,0.08273118367858731,0.1433290498542192,0.30986659746885725
1,"mu=0.30, sigma=0.50",0.3,0.5,800,0.01719534361077737,0.03154537309403588,0.059836130433153445,0.10968643470306155,0.3100988230486722
1,"mu=0.30, sigma=0.50",0.3,0.5,1600,0.013227556086684522,0.021979866854014745,0.0409979485436168,0.06700518120019679,0.11823622224083137
2,"mu=0.75, sigma=0.50",0.75,0.5,25,0.05332695412445694,0.08305287961351605,0.12632756183105137,0.17684576498456145,0.24731662592285597
2,"mu=0.75, sigma=0.50",0.75,0.5,50,0.036492784634434526,0.05744666174428304,0.08650167545773177,0.12318897325409389,0.1569035256499731
2,"mu=0.75, sigma=0.50",0.75,0.5,100,0.026104851909557514,0.04110816096805185,0.06497353510766848,0.08869686360815926,0.1228313251780758
2,"mu=0.75, sigma=0.50",0.75,0.5,200,0.014911971369117873,0.025922350208899443,0.04198305282742856,0.06128857314829718,0.08414796703659183
2,"mu=0.75, sigma=0.50",0.75,0.5,400,0.013021275797274762,0.020872608625191438,0.03373499730416614,0.047856506017661796,0.06110561607602292
2,"mu=0.75, sigma=0.50",0.75,0.5,800,0.008818435107134995,0.0142717088510049,0.023306474447846025,0.03444534213630935,0.04300477836279587
2,"mu=0.75, sigma=0.50",0.75,0.5,1600,0.006038973058114294,0.010110678257244262,0.016538066693698863,0.02285410805780492,0.0293007356652424
3,"mu=1.50, sigma=0.50",1.5,0.5,25,0.04127423789285061,0.07055288374870453,0.10586930573361855,0.1490196572872353,0.20071015563730404
3,"mu=1.50, sigma=0.50",1.5,0.5,50,0.030785749718043043,0.04922198770645527,0.074059398339206,0.103972181799387,0.14422461926717825
3,"mu=1.50, sigma=0.50",1.5,0.5,100,0.022248388183012866,0.03400621094311139,0.052480658859545615,0.07578577298427636,0.0999084352632085
3,"mu=1.50, sigma=0.50",1.5,0.5,200,0.012839515861983529,0.02342580883507172,0.037787216370283275,0.05194912730910797,0.06813345049064076
3,"mu=1.50, sigma=0.50",1.5,0.5,400,0.00965091228074294,0.018255849187427245,0.02620152315033568,0.037453213526921034,0.048372308064235016
3,"mu=1.50, sigma=0.50",1.5,0.5,800,0.0079196441123739,0.012457628752494634,0.01903207156144051,0.026348393601385866,0.03466485705421956
3,"mu=1.50, sigma=0.50",1.5,0.5,1600,0.0056727186380235795,0.00875949809559958,0.013865951335772987,0.01905485671201895,0.024988606386049675
4,"mu=2.25, sigma=0.50",2.25,0.5,25,0.041565927873240864,0.06629755768712373,0.10334133825053558,0.14304205582233903,0.18308300175469983
4,"mu=2.25, sigma=0.50",2.25,0.5,50,0.026550114110253265,0.04677088560950787,0.06967031129500818,0.09981541136672284,0.13665791895365026
4,"mu=2.25, sigma=0.50",2.25,0.5,100,0.017691311604654935,0.03034397648805901,0.04915951410532888,0.06929026280678334,0.09044687317344977
4,"mu=2.25, sigma=0.50",2.25,0.5,200,0.014768978059086045,0.023364078873862826,0.035188972122680316,0.05266532505289345,0.06665720604482026
4,"mu=2.25, sigma=0.50",2.25,0.5,400,0.01002105837361371,0.015571454714773706,0.024502306444848382,0.035298133519073974,0.04690050178109818
4,"mu=2.25, sigma=0.50",2.25,0.5,800,0.006587495233498726,0.010857534809924508,0.018204705562599222,0.026329230444409196,0.03248901693101106
4,"mu=2.25, sigma=0.50",2.25,0.5,1600,0.005019126200327983,0.008219770723388396,0.012753186473587816,0.018627769042280386,0.023518016163823405
5,"mu=3.00, sigma=0.50",3,0.5,25,0.03744674312028587,0.0633084409976139,0.10226067776043549,0.1399178352767291,0.18292660015730491
5,"mu=3.00, sigma=0.50",3,0.5,50,0.030558086040844517,0.0467524907818235,0.07394584524575024,0.10620997464028435,0.1387974985245331
5,"mu=3.00, sigma=0.50",3,0.5,100,0.019959876100476927,0.03362824902508018,0.05155117479048966,0.07036465421480853,0.08773783401191868
5,"mu=3.00, sigma=0.50",3,0.5,200,0.016328994421527104,0.024251848585410934,0.03688303136542484,0.05104293535341613,0.06620116441685886
5,"mu=3.00, sigma=0.50",3,0.5,400,0.010546269100577998,0.01759659377264214,0.027334628692260117,0.036323823397611185,0.04640181940161085
