theta_id,facet_lab,mu_star,sigma_star,n,eps,p_success
1,"mu=0.30, sigma=0.50",0.3,0.5,25,0.05,0.036
1,"mu=0.30, sigma=0.50",0.3,0.5,25,0.1,0.106
1,"mu=0.30, sigma=0.50",0.3,0.5,25,0.2,0.408
1,"mu=0.30, sigma=0.50",0.3,0.5,50,0.05,0.056
1,"mu=0.30, sigma=0.50",0.3,0.5,50,0.1,0.188
1,"mu=0.30, sigma=0.50",0.3,0.5,50,0.2,0.592
1,"mu=0.30, sigma=0.50",0.3,0.5,100,0.05,0.11
1,"mu=0.30, sigma=0.50",0.3,0.5,100,0.1,0.28
1,"mu=0.30, sigma=0.50",0.3,0.5,100,0.2,0.65
1,"mu=0.30, sigma=0.50",0.3,0.5,200,0.05,0.178
1,"mu=0.30, sigma=0.50",0.3,0.5,200,0.1,0.452
1,"mu=0.30, sigma=0.50",0.3,0.5,200,0.2,0.734
1,"mu=0.30, sigma=0.50",0.3,0.5,400,0.05,0.288
1,"mu=0.30, sigma=0.50",0.3,0.5,400,0.1,0.584
1,"mu=0.30, sigma=0.50",0.3,0.5,400,0.2,0.79
1,"mu=0.30, sigma=0.50",0.3,0.5,800,0.05,0.424
1,"mu=0.30, sigma=0.50",0.3,0.5,800,0.1,0.716
1,"mu=0.30, sigma=0.50",0.3,0.5,800,0.2,0.828
1,"mu=0.30, sigma=0.50",0.3,0.5,1600,0.05,0.598
1,"mu=0.30, sigma=0.50",0.3,0.5,1600,0.1,0.874
1,"mu=0.30, sigma=0.50",0.3,0.5,1600,0.2,0.942
2,"mu=0.75, sigma=0.50",0.75,0.5,25,0.05,0.088
2,"mu=0.75, sigma=0.50",0.75,0.5,25,0.1,0.362
2,"mu=0.75, sigma=0.50",0.75,0.5,25,0.2,0.81
2,"mu=0.75, sigma=0.50",0.75,0.5,50,0.05,0.194
2,"mu=0.75, sigma=0.50",0.75,0.5,50,0.1,0.602
2,"mu=0.75, sigma=0.50",0.75,0.5,50,0.2,0.962
2,"mu=0.75, sigma=0.50",0.75,0.5,100,0.05,0.342
2,"mu=0.75, sigma=0.50",0.75,0.5,100,0.1,0.832
2,"mu=0.75, sigma=0.50",0.75,0.5,100,0.2,0.984
