theta_id,facet_lab,mu_star,sigma_star,n,disc_neg_rate,v_neg_rate,sigma_zero_rate,mean_err,median_err
1,"mu=0.30, sigma=0.50",0.3,0.5,25,0.232,0,0,0.21813756991559252,0.22462395137935476
1,"mu=0.30, sigma=0.50",0.3,0.5,50,0.236,0,0,0.18774317112958708,0.17635985225859196
1,"mu=0.30, sigma=0.50",0.3,0.5,100,0.284,0,0,0.17367273205895398,0.151306221612834
1,"mu=0.30, sigma=0.50",0.3,0.5,200,0.26,0,0,0.14658186037741397,0.10927525889227399
1,"mu=0.30, sigma=0.50",0.3,0.5,400,0.206,0,0,0.12093806000655055,0.08273118367858731
1,"mu=0.30, sigma=0.50",0.3,0.5,800,0.168,0,0,0.10006241905807133,0.059836130433153445
1,"mu=0.30, sigma=0.50",0.3,0.5,1600,0.058,0,0,0.0615503225246335,0.0409979485436168
2,"mu=0.75, sigma=0.50",0.75,0.5,25,0.02,0,0,0.15136442014693477,0.12632756183105137
2,"mu=0.75, sigma=0.50",0.75,0.5,50,0.004,0,0,0.0973214721766904,0.08650167545773177
2,"mu=0.75, sigma=0.50",0.75,0.5,100,0.002,0,0,0.07216218617597393,0.06497353510766848
2,"mu=0.75, sigma=0.50",0.75,0.5,200,0,0,0,0.04661029024999116,0.04198305282742856
2,"mu=0.75, sigma=0.50",0.75,0.5,400,0,0,0,0.03598945306919613,0.03373499730416614
2,"mu=0.75, sigma=0.50",0.75,0.5,800,0,0,0,0.025239523191733483,0.023306474447846025
2,"mu=0.75, sigma=0.50",0.75,0.5,1600,0,0,0,0.017336244817948505,0.016538066693698863
3,"mu=1.50, sigma=0.50",1.5,0.5,25,0,0,0,0.11339283837358607,0.10586930573361855
3,"mu=1.50, sigma=0.50",1.5,0.5,50,0,0,0,0.08119226626895891,0.074059398339206
3,"mu=1.50, sigma=0.50",1.5,0.5,100,0,0,0,0.05727888899417738,0.052480658859545615
3,"mu=1.50, sigma=0.50",1.5,0.5,200,0,0,0,0.039327111394650144,0.037787216370283275
3,"mu=1.50, sigma=0.50",1.5,0.5,400,0,0,0,0.02837618750549835,0.02620152315033568
3,"mu=1.50, sigma=0.50",1.5,0.5,800,0,0,0,0.020235192133868516,0.01903207156144051
3,"mu=1.50, sigma=0.50",1.5,0.5,1600,0,0,0,0.014418610967712017,0.013865951335772987
4,"mu=2.25, sigma=0.50",2.25,0.5,25,0,0,0,0.10913000699239152,0.10334133825053558
4,"mu=2.25, sigma=0.50",2.25,0.5,50,0,0,0,0.07668965752494646,0.06967031129500818
4,"mu=2.25, sigma=0.50",2.25,0.5,100,0,0,0,0.052685002002353425,0.04915951410532888
4,"mu=2.25, sigma=0.50",2.25,0.5,200,0,0,0,0.03909979199793208,0.035188972122680316
4,"mu=2.25, sigma=0.50",2.25,0.5,400,0,0,0,0.02693352311887261,0.024502306444848382
4,"mu=2.25, sigma=0.50",2.25,0.5,800,0,0,0,0.019246737964583635,0.018204705562599222
4,"mu=2.25, sigma=0.50",2.25,0.5,1600,0,0,0,0.013807180769690681,0.012753186473587816
