"model","exp_id","compute_tier","theta_id","facet_lab","n","gamma","gamma_lab","net_size","mu_star","sigma_star","mu_hat","sigma_hat","a_dstat","e_orbit","decode_time"
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00367429449571788,0.1,0.0499999999992724
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00517305272543689,0.1,0.0400000000008731
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.0208622340938072,0.1,0.0299999999988358
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00708161211471947,0.1,0.0299999999988358
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00603951567447403,0.1,0.0300000000024738
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00999223329548504,0.1,0.0400000000008731
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00761569654629257,0.1,0.0400000000008731
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.0148467210534806,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.00833081393313095,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0,0.5,0.00722640807668706,0.3,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0.4,0.5,0.0154410779558936,0.1,1e-06
"folded_normal","L-DEC","laptop",1,"id=1 (mu*=0.3, sigma*=0.5)",100,0.4,"gamma=0.4",45,0.3,0.5,0,0.5,0.00688050738606438,0.3,1e-06
