"model","exp_id","theta_id","facet_lab","mu_star","sigma_star","n","gamma","gamma_lab","net_size","q10","q25","q50","q75","q90"
"folded_normal","L-FN2",1,"id=1 (mu*=0.3, sigma*=0.5)",0.3,0.5,50,0.1,"gamma=0.1",496,0,0.1,0.1,0.2,0.316227766016838
"folded_normal","L-FN2",1,"id=1 (mu*=0.3, sigma*=0.5)",0.3,0.5,100,0.1,"gamma=0.1",496,0,0,0.1,0.2,0.316227766016838
"folded_normal","L-FN2",1,"id=1 (mu*=0.3, sigma*=0.5)",0.3,0.5,200,0.1,"gamma=0.1",496,0,0,0.1,0.1,0.223606797749979
"folded_normal","L-FN2",1,"id=1 (mu*=0.3, sigma*=0.5)",0.3,0.5,400,0.1,"gamma=0.1",496,0,0,0,0.203060437371812,0.316227766016838
"folded_normal","L-FN2",1,"id=1 (mu*=0.3, sigma*=0.5)",0.3,0.5,800,0.1,"gamma=0.1",496,0,0,0,0,0.316227766016838
"folded_normal","L-FN2",1,"id=1 (mu*=0.3, sigma*=0.5)",0.3,0.5,50,0.05,"gamma=0.05",1891,0,0.05,0.1,0.180277563773199,0.258610637585902
"folded_normal","L-FN2",1,"id=1 (mu*=0.3, sigma*=0.5)",0.3,0.5,100,0.05,"gamma=0.05",1891,0,0.05,0.1,0.180277563773199,0.3
"folded_normal","L-FN2",1,"id=1 (mu*=0.3, sigma*=0.5)",0.3,0.5,200,0.05,"gamma=0.05",1891,0,0.0125,0.0707106781186548,0.158113883008419,0.269258240356725
"folded_normal","L-FN2",1,"id=1 (mu*=0.3, sigma*=0.5)",0.3,0.5,400,0.05,"gamma=0.05",1891,0,0,0.05,0.11180339887499,0.226741215542945
"folded_normal","L-FN2",1,"id=1 (mu*=0.3, sigma*=0.5)",0.3,0.5,800,0.05,"gamma=0.05",1891,0,0,0.05,0.11180339887499,0.207900432927793
"folded_normal","L-FN2",2,"id=2 (mu*=0.75, sigma*=0.5)",0.75,0.5,50,0.1,"gamma=0.1",496,0.0499999999999999,0.0499999999999999,0.05,0.111803398874989,0.15
