"model","exp_id","theta_id","facet_lab","mu_star","sigma_star","n","gamma","gamma_lab","net_size","n_times_net","time_med","time_mean","time_q90","throughput_med"
"folded_normal","L-FN2",1,"id=1 (mu*=0.3, sigma*=0.5)",0.3,0.5,50,0.1,"gamma=0.1",496,24800,0,0.00719999999999951,0.0200000000004366,Inf
"folded_normal","L-FN2",1,"id=1 (mu*=0.3, sigma*=0.5)",0.3,0.5,100,0.1,"gamma=0.1",496,49600,0.00999999999930878,0.00866666666666182,0.0200000000004366,4960000.00034284
"folded_normal","L-FN2",1,"id=1 (mu*=0.3, sigma*=0.5)",0.3,0.5,200,0.1,"gamma=0.1",496,99200,0.0100000000002183,0.011866666666671,0.0200000000004366,9919999.99978347
"folded_normal","L-FN2",1,"id=1 (mu*=0.3, sigma*=0.5)",0.3,0.5,400,0.1,"gamma=0.1",496,198400,0.0200000000004366,0.0193333333333309,0.0300000000006548,9919999.99978347
"folded_normal","L-FN2",1,"id=1 (mu*=0.3, sigma*=0.5)",0.3,0.5,800,0.1,"gamma=0.1",496,396800,0.0300000000006548,0.0353333333333406,0.0500000000010914,13226666.666378
"folded_normal","L-FN2",1,"id=1 (mu*=0.3, sigma*=0.5)",0.3,0.5,50,0.05,"gamma=0.05",1891,94550,0.0200000000004366,0.0233999999999893,0.0300000000006548,4727499.99989681
"folded_normal","L-FN2",1,"id=1 (mu*=0.3, sigma*=0.5)",0.3,0.5,100,0.05,"gamma=0.05",1891,189100,0.0299999999988358,0.0286000000000058,0.0400000000008731,6303333.33357793
"folded_normal","L-FN2",1,"id=1 (mu*=0.3, sigma*=0.5)",0.3,0.5,200,0.05,"gamma=0.05",1891,378200,0.0400000000008731,0.0426000000000082,0.0500000000010914,9454999.99979362
"folded_normal","L-FN2",1,"id=1 (mu*=0.3, sigma*=0.5)",0.3,0.5,400,0.05,"gamma=0.05",1891,756400,0.070000000001528,0.0723999999999917,0.0800000000001092,10805714.2854784
"folded_normal","L-FN2",1,"id=1 (mu*=0.3, sigma*=0.5)",0.3,0.5,800,0.05,"gamma=0.05",1891,1512800,0.1299999999992,0.129399999999999,0.140000000001237,11636923.0769947
"folded_normal","L-FN2",2,"id=2 (mu*=0.75, sigma*=0.5)",0.75,0.5,50,0.1,"gamma=0.1",496,24800,0,0.00553333333333285,0.0200000000004366,Inf
"folded_normal","L-FN2",2,"id=2 (mu*=0.75, sigma*=0.5)",0.75,0.5,100,0.1,"gamma=0.1",496,49600,0,0.00840000000000145,0.0200000000004366,Inf
"folded_normal","L-FN2",2,"id=2 (mu*=0.75, sigma*=0.5)",0.75,0.5,200,0.1,"gamma=0.1",496,99200,0.0100000000002183,0.0107333333333251,0.0200000000004366,9919999.99978347
"folded_normal","L-FN2",2,"id=2 (mu*=0.75, sigma*=0.5)",0.75,0.5,400,0.1,"gamma=0.1",496,198400,0.0200000000004366,0.0178666666666929,0.0299999999990177,9919999.99978347
"folded_normal","L-FN2",2,"id=2 (mu*=0.75, sigma*=0.5)",0.75,0.5,800,0.1,"gamma=0.1",496,396800,0.0300000000006548,0.0330666666666608,0.0499999999992724,13226666.666378
"folded_normal","L-FN2",2,"id=2 (mu*=0.75, sigma*=0.5)",0.75,0.5,50,0.05,"gamma=0.05",1891,94550,0.0200000000004366,0.0218666666666589,0.0300000000006548,4727499.99989681
"folded_normal","L-FN2",2,"id=2 (mu*=0.75, sigma*=0.5)",0.75,0.5,100,0.05,"gamma=0.05",1891,189100,0.0299999999988358,0.028133333333329,0.041000000000713,6303333.33357793
"folded_normal","L-FN2",2,"id=2 (mu*=0.75, sigma*=0.5)",0.75,0.5,200,0.05,"gamma=0.05",1891,378200,0.0400000000008731,0.0417333333333348,0.0500000000010914,9454999.99979362
"folded_normal","L-FN2",2,"id=2 (mu*=0.75, sigma*=0.5)",0.75,0.5,400,0.05,"gamma=0.05",1891,756400,0.069999999999709,0.0703999999999966,0.0799999999999272,10805714.2857592
"folded_normal","L-FN2",2,"id=2 (mu*=0.75, sigma*=0.5)",0.75,0.5,800,0.05,"gamma=0.05",1891,1512800,0.1200000000008,0.125600000000001,0.139999999999418,12606666.6665826
"folded_normal","L-FN2",3,"id=3 (mu*=1.5, sigma*=0.5)",1.5,0.5,50,0.1,"gamma=0.1",496,24800,0,0.00553333333333285,0.0200000000004366,Inf
"folded_normal","L-FN2",3,"id=3 (mu*=1.5, sigma*=0.5)",1.5,0.5,100,0.1,"gamma=0.1",496,49600,0,0.00706666666666327,0.0200000000004366,Inf
"folded_normal","L-FN2",3,"id=3 (mu*=1.5, sigma*=0.5)",1.5,0.5,200,0.1,"gamma=0.1",496,99200,0.0100000000002183,0.0108000000000053,0.0200000000004366,9919999.99978347
"folded_normal","L-FN2",3,"id=3 (mu*=1.5, sigma*=0.5)",1.5,0.5,400,0.1,"gamma=0.1",496,198400,0.0199999999995271,0.0175999999999961,0.0299999999988358,9920000.00023458
"folded_normal","L-FN2",3,"id=3 (mu*=1.5, sigma*=0.5)",1.5,0.5,800,0.1,"gamma=0.1",496,396800,0.0300000000006548,0.0336666666666739,0.0499999999992724,13226666.666378
"folded_normal","L-FN2",3,"id=3 (mu*=1.5, sigma*=0.5)",1.5,0.5,50,0.05,"gamma=0.05",1891,94550,0.0200000000004366,0.0209999999999976,0.0300000000006548,4727499.99989681
"folded_normal","L-FN2",3,"id=3 (mu*=1.5, sigma*=0.5)",1.5,0.5,100,0.05,"gamma=0.05",1891,189100,0.0299999999988358,0.0282666666666652,0.0400000000008731,6303333.33357793
"folded_normal","L-FN2",3,"id=3 (mu*=1.5, sigma*=0.5)",1.5,0.5,200,0.05,"gamma=0.05",1891,378200,0.0399999999999636,0.0412000000000019,0.0500000000010914,9455000.0000086
"folded_normal","L-FN2",3,"id=3 (mu*=1.5, sigma*=0.5)",1.5,0.5,400,0.05,"gamma=0.05",1891,756400,0.069999999999709,0.0717999999999908,0.0810000000014042,10805714.2857592
"folded_normal","L-FN2",3,"id=3 (mu*=1.5, sigma*=0.5)",1.5,0.5,800,0.05,"gamma=0.05",1891,1512800,0.1200000000008,0.1228,0.139999999999418,12606666.6665826
"folded_normal","L-FN2",4,"id=4 (mu*=2.25, sigma*=0.5)",2.25,0.5,50,0.1,"gamma=0.1",496,24800,0,0.00560000000000097,0.0200000000004366,Inf
"folded_normal","L-FN2",4,"id=4 (mu*=2.25, sigma*=0.5)",2.25,0.5,100,0.1,"gamma=0.1",496,49600,0,0.00733333333333576,0.0200000000004366,Inf
"folded_normal","L-FN2",4,"id=4 (mu*=2.25, sigma*=0.5)",2.25,0.5,200,0.1,"gamma=0.1",496,99200,0.0100000000002183,0.0108000000000053,0.0200000000004366,9919999.99978347
"folded_normal","L-FN2",4,"id=4 (mu*=2.25, sigma*=0.5)",2.25,0.5,400,0.1,"gamma=0.1",496,198400,0.0199999999986176,0.0176666666666764,0.0300000000006548,9920000.00068569
"folded_normal","L-FN2",4,"id=4 (mu*=2.25, sigma*=0.5)",2.25,0.5,800,0.1,"gamma=0.1",496,396800,0.0300000000006548,0.0317999999999908,0.0400000000008731,13226666.666378
"folded_normal","L-FN2",4,"id=4 (mu*=2.25, sigma*=0.5)",2.25,0.5,50,0.05,"gamma=0.05",1891,94550,0.0200000000004366,0.0212666666666701,0.0300000000006548,4727499.99989681
"folded_normal","L-FN2",4,"id=4 (mu*=2.25, sigma*=0.5)",2.25,0.5,100,0.05,"gamma=0.05",1891,189100,0.0299999999988358,0.027466666666672,0.0400000000008731,6303333.33357793
"folded_normal","L-FN2",4,"id=4 (mu*=2.25, sigma*=0.5)",2.25,0.5,200,0.05,"gamma=0.05",1891,378200,0.0400000000008731,0.0420666666666633,0.0599999999994907,9454999.99979362
"folded_normal","L-FN2",4,"id=4 (mu*=2.25, sigma*=0.5)",2.25,0.5,400,0.05,"gamma=0.05",1891,756400,0.069999999999709,0.0682666666666652,0.0799999999999272,10805714.2857592
"folded_normal","L-FN2",4,"id=4 (mu*=2.25, sigma*=0.5)",2.25,0.5,800,0.05,"gamma=0.05",1891,1512800,0.1200000000008,0.122266666666668,0.131000000000859,12606666.6665826
"folded_normal","L-FN2",5,"id=5 (mu*=3, sigma*=0.5)",3,0.5,50,0.1,"gamma=0.1",496,24800,0,0.0053999999999966,0.0200000000004366,Inf
"folded_normal","L-FN2",5,"id=5 (mu*=3, sigma*=0.5)",3,0.5,100,0.1,"gamma=0.1",496,49600,0,0.00713333333333139,0.0200000000004366,Inf
"folded_normal","L-FN2",5,"id=5 (mu*=3, sigma*=0.5)",3,0.5,200,0.1,"gamma=0.1",496,99200,0.0100000000002183,0.0109333333333295,0.0200000000004366,9919999.99978347
"folded_normal","L-FN2",5,"id=5 (mu*=3, sigma*=0.5)",3,0.5,400,0.1,"gamma=0.1",496,198400,0.0200000000004366,0.0175999999999961,0.0299999999990177,9919999.99978347
"folded_normal","L-FN2",5,"id=5 (mu*=3, sigma*=0.5)",3,0.5,800,0.1,"gamma=0.1",496,396800,0.0300000000006548,0.0326666666666764,0.0499999999992724,13226666.666378
"folded_normal","L-FN2",5,"id=5 (mu*=3, sigma*=0.5)",3,0.5,50,0.05,"gamma=0.05",1891,94550,0.0200000000004366,0.0208000000000053,0.0300000000006548,4727499.99989681
"folded_normal","L-FN2",5,"id=5 (mu*=3, sigma*=0.5)",3,0.5,100,0.05,"gamma=0.05",1891,189100,0.0299999999988358,0.0278000000000005,0.041000000000713,6303333.33357793
"folded_normal","L-FN2",5,"id=5 (mu*=3, sigma*=0.5)",3,0.5,200,0.05,"gamma=0.05",1891,378200,0.0400000000008731,0.0412000000000019,0.0500000000010914,9454999.99979362
"folded_normal","L-FN2",5,"id=5 (mu*=3, sigma*=0.5)",3,0.5,400,0.05,"gamma=0.05",1891,756400,0.0600000000013097,0.0684666666666574,0.0799999999999272,12606666.6663915
"folded_normal","L-FN2",5,"id=5 (mu*=3, sigma*=0.5)",3,0.5,800,0.05,"gamma=0.05",1891,1512800,0.1200000000008,0.123933333333346,0.139999999999418,12606666.6665826
"folded_normal","L-FN2",6,"id=6 (mu*=0.3, sigma*=1.25)",0.3,1.25,50,0.1,"gamma=0.1",496,24800,0,0.00566666666665697,0.0200000000004366,Inf
"folded_normal","L-FN2",6,"id=6 (mu*=0.3, sigma*=1.25)",0.3,1.25,100,0.1,"gamma=0.1",496,49600,0,0.00726666666666764,0.0200000000004366,Inf
"folded_normal","L-FN2",6,"id=6 (mu*=0.3, sigma*=1.25)",0.3,1.25,200,0.1,"gamma=0.1",496,99200,0.0100000000002183,0.0111333333333338,0.0200000000004366,9919999.99978347
"folded_normal","L-FN2",6,"id=6 (mu*=0.3, sigma*=1.25)",0.3,1.25,400,0.1,"gamma=0.1",496,198400,0.0200000000004366,0.0182666666666652,0.0300000000006548,9919999.99978347
"folded_normal","L-FN2",6,"id=6 (mu*=0.3, sigma*=1.25)",0.3,1.25,800,0.1,"gamma=0.1",496,396800,0.0300000000006548,0.0326000000000082,0.0499999999992724,13226666.666378
"folded_normal","L-FN2",6,"id=6 (mu*=0.3, sigma*=1.25)",0.3,1.25,50,0.05,"gamma=0.05",1891,94550,0.0200000000004366,0.0212666666666579,0.0300000000006548,4727499.99989681
"folded_normal","L-FN2",6,"id=6 (mu*=0.3, sigma*=1.25)",0.3,1.25,100,0.05,"gamma=0.05",1891,189100,0.0299999999988358,0.0278000000000126,0.0400000000008731,6303333.33357793
"folded_normal","L-FN2",6,"id=6 (mu*=0.3, sigma*=1.25)",0.3,1.25,200,0.05,"gamma=0.05",1891,378200,0.0400000000008731,0.042466666666672,0.0510000000009313,9454999.99979362
"folded_normal","L-FN2",6,"id=6 (mu*=0.3, sigma*=1.25)",0.3,1.25,400,0.05,"gamma=0.05",1891,756400,0.069999999999709,0.0689999999999903,0.0799999999999272,10805714.2857592
"folded_normal","L-FN2",6,"id=6 (mu*=0.3, sigma*=1.25)",0.3,1.25,800,0.05,"gamma=0.05",1891,1512800,0.139999999999418,0.15346666666667,0.220000000001164,10805714.2857592
"folded_normal","L-FN2",7,"id=7 (mu*=0.75, sigma*=1.25)",0.75,1.25,50,0.1,"gamma=0.1",496,24800,0,0.00653333333333042,0.0200000000004366,Inf
"folded_normal","L-FN2",7,"id=7 (mu*=0.75, sigma*=1.25)",0.75,1.25,100,0.1,"gamma=0.1",496,49600,0,0.00759999999999612,0.0200000000004366,Inf
"folded_normal","L-FN2",7,"id=7 (mu*=0.75, sigma*=1.25)",0.75,1.25,200,0.1,"gamma=0.1",496,99200,0.0100000000002183,0.0114000000000063,0.0200000000004366,9919999.99978347
"folded_normal","L-FN2",7,"id=7 (mu*=0.75, sigma*=1.25)",0.75,1.25,400,0.1,"gamma=0.1",496,198400,0.0200000000004366,0.0185999999999937,0.0300000000006548,9919999.99978347
"folded_normal","L-FN2",7,"id=7 (mu*=0.75, sigma*=1.25)",0.75,1.25,800,0.1,"gamma=0.1",496,396800,0.0300000000006548,0.0338666666666662,0.0499999999992724,13226666.666378
"folded_normal","L-FN2",7,"id=7 (mu*=0.75, sigma*=1.25)",0.75,1.25,50,0.05,"gamma=0.05",1891,94550,0.0200000000004366,0.0219999999999951,0.0300000000006548,4727499.99989681
"folded_normal","L-FN2",7,"id=7 (mu*=0.75, sigma*=1.25)",0.75,1.25,100,0.05,"gamma=0.05",1891,189100,0.0299999999988358,0.0279333333333367,0.041000000000713,6303333.33357793
"folded_normal","L-FN2",7,"id=7 (mu*=0.75, sigma*=1.25)",0.75,1.25,200,0.05,"gamma=0.05",1891,378200,0.0400000000008731,0.0426666666666642,0.0599999999994907,9454999.99979362
"folded_normal","L-FN2",7,"id=7 (mu*=0.75, sigma*=1.25)",0.75,1.25,400,0.05,"gamma=0.05",1891,756400,0.069999999999709,0.0703333333333285,0.0799999999999272,10805714.2857592
"folded_normal","L-FN2",7,"id=7 (mu*=0.75, sigma*=1.25)",0.75,1.25,800,0.05,"gamma=0.05",1891,1512800,0.1299999999992,0.127066666666675,0.140000000001237,11636923.0769947
"folded_normal","L-FN2",8,"id=8 (mu*=1.5, sigma*=1.25)",1.5,1.25,50,0.1,"gamma=0.1",496,24800,0,0.00566666666665697,0.0200000000004366,Inf
"folded_normal","L-FN2",8,"id=8 (mu*=1.5, sigma*=1.25)",1.5,1.25,100,0.1,"gamma=0.1",496,49600,0,0.00726666666666764,0.0200000000004366,Inf
"folded_normal","L-FN2",8,"id=8 (mu*=1.5, sigma*=1.25)",1.5,1.25,200,0.1,"gamma=0.1",496,99200,0.0100000000002183,0.0120666666666633,0.0200000000004366,9919999.99978347
"folded_normal","L-FN2",8,"id=8 (mu*=1.5, sigma*=1.25)",1.5,1.25,400,0.1,"gamma=0.1",496,198400,0.0200000000004366,0.0179333333333489,0.0299999999990177,9919999.99978347
"folded_normal","L-FN2",8,"id=8 (mu*=1.5, sigma*=1.25)",1.5,1.25,800,0.1,"gamma=0.1",496,396800,0.0300000000006548,0.0327333333333324,0.0499999999992724,13226666.666378
"folded_normal","L-FN2",8,"id=8 (mu*=1.5, sigma*=1.25)",1.5,1.25,50,0.05,"gamma=0.05",1891,94550,0.0200000000004366,0.0211333333333338,0.0300000000006548,4727499.99989681
"folded_normal","L-FN2",8,"id=8 (mu*=1.5, sigma*=1.25)",1.5,1.25,100,0.05,"gamma=0.05",1891,189100,0.0299999999988358,0.0287333333333299,0.0400000000008731,6303333.33357793
"folded_normal","L-FN2",8,"id=8 (mu*=1.5, sigma*=1.25)",1.5,1.25,200,0.05,"gamma=0.05",1891,378200,0.0400000000008731,0.041866666666671,0.0500000000010914,9454999.99979362
"folded_normal","L-FN2",8,"id=8 (mu*=1.5, sigma*=1.25)",1.5,1.25,400,0.05,"gamma=0.05",1891,756400,0.069999999999709,0.069399999999999,0.0799999999999272,10805714.2857592
"folded_normal","L-FN2",8,"id=8 (mu*=1.5, sigma*=1.25)",1.5,1.25,800,0.05,"gamma=0.05",1891,1512800,0.125,0.125999999999998,0.139999999999418,12102400
"folded_normal","L-FN2",9,"id=9 (mu*=2.25, sigma*=1.25)",2.25,1.25,50,0.1,"gamma=0.1",496,24800,0,0.00560000000000097,0.0200000000004366,Inf
"folded_normal","L-FN2",9,"id=9 (mu*=2.25, sigma*=1.25)",2.25,1.25,100,0.1,"gamma=0.1",496,49600,0,0.00726666666666764,0.0200000000004366,Inf
"folded_normal","L-FN2",9,"id=9 (mu*=2.25, sigma*=1.25)",2.25,1.25,200,0.1,"gamma=0.1",496,99200,0.0100000000002183,0.0107999999999932,0.0200000000004366,9919999.99978347
