"model","exp_id","theta_id","facet_lab","mu_star","sigma_star","n","eps","gamma","gamma_lab","net_size","p_success"
"folded_normal","L-FN2",1,"id=1 (mu*=0.3, sigma*=0.5)",0.3,0.5,50,0.1,0.1,"gamma=0.1",496,0.433333333333333
"folded_normal","L-FN2",1,"id=1 (mu*=0.3, sigma*=0.5)",0.3,0.5,100,0.1,0.1,"gamma=0.1",496,0.493333333333333
"folded_normal","L-FN2",1,"id=1 (mu*=0.3, sigma*=0.5)",0.3,0.5,200,0.1,0.1,"gamma=0.1",496,0.6
"folded_normal","L-FN2",1,"id=1 (mu*=0.3, sigma*=0.5)",0.3,0.5,400,0.1,0.1,"gamma=0.1",496,0.62
"folded_normal","L-FN2",1,"id=1 (mu*=0.3, sigma*=0.5)",0.3,0.5,800,0.1,0.1,"gamma=0.1",496,0.78
"folded_normal","L-FN2",1,"id=1 (mu*=0.3, sigma*=0.5)",0.3,0.5,50,0.1,0.05,"gamma=0.05",1891,0.473333333333333
"folded_normal","L-FN2",1,"id=1 (mu*=0.3, sigma*=0.5)",0.3,0.5,100,0.1,0.05,"gamma=0.05",1891,0.473333333333333
"folded_normal","L-FN2",1,"id=1 (mu*=0.3, sigma*=0.5)",0.3,0.5,200,0.1,0.05,"gamma=0.05",1891,0.586666666666667
"folded_normal","L-FN2",1,"id=1 (mu*=0.3, sigma*=0.5)",0.3,0.5,400,0.1,0.05,"gamma=0.05",1891,0.653333333333333
"folded_normal","L-FN2",1,"id=1 (mu*=0.3, sigma*=0.5)",0.3,0.5,800,0.1,0.05,"gamma=0.05",1891,0.64
"folded_normal","L-FN2",2,"id=2 (mu*=0.75, sigma*=0.5)",0.75,0.5,50,0.1,0.1,"gamma=0.1",496,0.606666666666667
"folded_normal","L-FN2",2,"id=2 (mu*=0.75, sigma*=0.5)",0.75,0.5,100,0.1,0.1,"gamma=0.1",496,0.826666666666667
"folded_normal","L-FN2",2,"id=2 (mu*=0.75, sigma*=0.5)",0.75,0.5,200,0.1,0.1,"gamma=0.1",496,0.886666666666667
"folded_normal","L-FN2",2,"id=2 (mu*=0.75, sigma*=0.5)",0.75,0.5,400,0.1,0.1,"gamma=0.1",496,0.953333333333333
"folded_normal","L-FN2",2,"id=2 (mu*=0.75, sigma*=0.5)",0.75,0.5,800,0.1,0.1,"gamma=0.1",496,0.98
"folded_normal","L-FN2",2,"id=2 (mu*=0.75, sigma*=0.5)",0.75,0.5,50,0.1,0.05,"gamma=0.05",1891,0.66
"folded_normal","L-FN2",2,"id=2 (mu*=0.75, sigma*=0.5)",0.75,0.5,100,0.1,0.05,"gamma=0.05",1891,0.88
"folded_normal","L-FN2",2,"id=2 (mu*=0.75, sigma*=0.5)",0.75,0.5,200,0.1,0.05,"gamma=0.05",1891,0.92
