"model","exp_id","theta_id","facet_lab","mu_star","sigma_star","n","eps","gamma","net_size","tau","tie_rule","p_success","p_se","time_eval_med","time_eval_mean"
"folded_normal","L-FN3",1,"id=1 (mu*=0.3, sigma*=0.5)",0.3,0.5,100,0.1,0.05,1891,0,"uniform",0.186666666666667,0.0318142758545303,0.0300000000006548,0.0461333333333096
"folded_normal","L-FN3",1,"id=1 (mu*=0.3, sigma*=0.5)",0.3,0.5,100,0.1,0.05,1891,1e-04,"uniform",0.193333333333333,0.0322444367868894,0.0300000000006548,0.0461333333333096
"folded_normal","L-FN3",1,"id=1 (mu*=0.3, sigma*=0.5)",0.3,0.5,100,0.1,0.05,1891,5e-04,"uniform",0.266666666666667,0.0361068373539376,0.0300000000006548,0.0461333333333096
"folded_normal","L-FN3",1,"id=1 (mu*=0.3, sigma*=0.5)",0.3,0.5,100,0.1,0.05,1891,0.001,"uniform",0.366666666666667,0.0393465137991684,0.0300000000006548,0.0461333333333096
"folded_normal","L-FN3",1,"id=1 (mu*=0.3, sigma*=0.5)",0.3,0.5,100,0.1,0.05,1891,0.002,"uniform",0.373333333333333,0.0394930842515966,0.0300000000006548,0.0461333333333096
"folded_normal","L-FN3",1,"id=1 (mu*=0.3, sigma*=0.5)",0.3,0.5,100,0.1,0.05,1891,0.005,"uniform",0.366666666666667,0.0393465137991684,0.0300000000006548,0.0461333333333096
"folded_normal","L-FN3",1,"id=1 (mu*=0.3, sigma*=0.5)",0.3,0.5,100,0.1,0.05,1891,0.01,"uniform",0.273333333333333,0.0363888464800431,0.0300000000006548,0.0461333333333096
"folded_normal","L-FN3",1,"id=1 (mu*=0.3, sigma*=0.5)",0.3,0.5,100,0.1,0.05,1891,0.02,"uniform",0.266666666666667,0.0361068373539376,0.0300000000006548,0.0461333333333096
"folded_normal","L-FN3",1,"id=1 (mu*=0.3, sigma*=0.5)",0.3,0.5,100,0.1,0.05,1891,0.05,"uniform",0.166666666666667,0.0304290309725092,0.0300000000006548,0.0461333333333096
"folded_normal","L-FN3",1,"id=1 (mu*=0.3, sigma*=0.5)",0.3,0.5,200,0.1,0.05,1891,0,"uniform",0.166666666666667,0.0304290309725092,0.0499999999992724,0.0488000000000102
"folded_normal","L-FN3",1,"id=1 (mu*=0.3, sigma*=0.5)",0.3,0.5,200,0.1,0.05,1891,1e-04,"uniform",0.186666666666667,0.0318142758545303,0.0499999999992724,0.0488000000000102
"folded_normal","L-FN3",1,"id=1 (mu*=0.3, sigma*=0.5)",0.3,0.5,200,0.1,0.05,1891,5e-04,"uniform",0.3,0.0374165738677394,0.0499999999992724,0.0488000000000102
"folded_normal","L-FN3",1,"id=1 (mu*=0.3, sigma*=0.5)",0.3,0.5,200,0.1,0.05,1891,0.001,"uniform",0.406666666666667,0.0401072635889385,0.0499999999992724,0.0488000000000102
